11:58:10.383 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.SpringBootDemoApplicationTests], using SpringBootContextLoader
11:58:13.841 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/find/{id}],methods=[GET]}" onto public java.lang.String com.example.demo.HelloWorldController.findById(java.lang.Integer)
11:58:13.841 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/hello/{id}/{name}],methods=[GET]}" onto public java.lang.String com.example.demo.HelloWorldController.hello(java.lang.Integer,java.lang.String)
11:58:13.843 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
11:58:13.844 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
11:58:13.865 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:58:13.865 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:58:14.391 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
11:58:14.399 [main] INFO  c.e.d.SpringBootDemoApplicationTests - Started SpringBootDemoApplicationTests in 3.387 seconds (JVM running for 5.367)
11:58:14.707 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:58:15.070 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:58:15.130 [Thread-3] INFO  o.s.w.c.s.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@29d80d2b: startup date [Fri Oct 26 11:58:11 CST 2018]; root of context hierarchy
11:58:15.132 [Thread-3] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
11:58:15.135 [Thread-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11:58:15.138 [Thread-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11:58:49.556 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.SpringBootDemoApplicationTests], using SpringBootContextLoader
11:58:49.562 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.SpringBootDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
11:58:49.563 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.SpringBootDemoApplicationTests]: SpringBootDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
11:58:49.691 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.SpringBootDemoApplication for test class com.example.demo.SpringBootDemoApplicationTests
11:58:49.838 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
11:58:49.855 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@72cde7cc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5fd4f8f5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@696da30b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4e7912d8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@53976f5c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2bfc268b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2f8dad04, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@29e495ff, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@41e1e210, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@be35cd9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4944252c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@44821a96]
11:58:50.227 [main] INFO  c.e.d.SpringBootDemoApplicationTests - Starting SpringBootDemoApplicationTests on W7-201703281209 with PID 31064 (started by Administrator in E:\workSpace\SpringBootDemo)
11:58:50.228 [main] INFO  c.e.d.SpringBootDemoApplicationTests - No active profile set, falling back to default profiles: default
11:58:50.271 [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@29d80d2b: startup date [Fri Oct 26 11:58:50 CST 2018]; root of context hierarchy
11:58:51.826 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:58:52.007 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@29d80d2b: startup date [Fri Oct 26 11:58:50 CST 2018]; root of context hierarchy
11:58:52.063 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/find],methods=[GET]}" onto public java.lang.String com.example.demo.HelloWorldController.find()
11:58:52.064 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/find/{id}],methods=[GET]}" onto public java.lang.String com.example.demo.HelloWorldController.findById(java.lang.Integer)
11:58:52.065 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/hello/{id}/{name}],methods=[GET]}" onto public java.lang.String com.example.demo.HelloWorldController.hello(java.lang.Integer,java.lang.String)
11:58:52.066 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
11:58:52.067 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
11:58:52.090 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:58:52.090 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:58:52.471 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
11:58:52.480 [main] INFO  c.e.d.SpringBootDemoApplicationTests - Started SpringBootDemoApplicationTests in 2.566 seconds (JVM running for 3.474)
11:58:52.567 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:58:52.753 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:58:52.777 [Thread-3] INFO  o.s.w.c.s.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@29d80d2b: startup date [Fri Oct 26 11:58:50 CST 2018]; root of context hierarchy
11:58:52.779 [Thread-3] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
11:58:52.780 [Thread-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11:58:52.782 [Thread-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
14:43:11.657 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.SpringBootDemoApplicationTests], using SpringBootContextLoader
14:43:11.664 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.SpringBootDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
14:43:11.826 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
14:43:11.841 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@117e949d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6db9f5a4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5f8edcc5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7b02881e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1ebd319f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3c0be339, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15ca7889, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7a675056, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@d21a74c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6e509ffa, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2898ac89, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@683dbc2c]
14:43:12.422 [main] INFO  c.e.d.SpringBootDemoApplicationTests - Starting SpringBootDemoApplicationTests on W7-201703281209 with PID 52748 (started by Administrator in E:\workSpace\SpringBootDemo)
14:43:12.422 [main] INFO  c.e.d.SpringBootDemoApplicationTests - No active profile set, falling back to default profiles: default
14:43:12.492 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@303cf2ba: startup date [Fri Oct 26 14:43:12 CST 2018]; root of context hierarchy
14:43:14.642 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
14:43:14.733 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
14:43:14.751 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
14:43:14.751 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.32
14:43:14.766 [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\Program Files (x86)\java\jdk1.8.0_144\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;D:\Program Files (x86)\java\jdk1.8.0_144\bin;D:\Program Files (x86)\java\jdk1.8.0_144\jre\bin;D:\Program Files (x86)\apache-maven-3.3.3\bin;D:\Program Files\Git\cmd;D:\Fiddler;.]
14:43:14.987 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:43:14.987 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2495 ms
14:43:15.133 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [*.do]
14:43:15.134 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
14:43:15.134 [localhost-startStop-1] INFO  o.s.b.web.servlet.RegistrationBean - Servlet dispatcherServlet was not registered (possibly already registered?)
14:43:15.138 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
14:43:15.138 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
14:43:15.138 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
14:43:15.138 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
14:43:15.539 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
14:43:15.705 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@303cf2ba: startup date [Fri Oct 26 14:43:12 CST 2018]; root of context hierarchy
14:43:15.764 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/find],methods=[GET]}" onto public java.lang.String com.example.demo.HelloWorldController.find()
14:43:15.765 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/find/{id}],methods=[GET]}" onto public java.lang.String com.example.demo.HelloWorldController.findById(java.lang.Integer)
14:43:15.765 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/hello/{id}/{name}],methods=[GET]}" onto public java.lang.String com.example.demo.HelloWorldController.hello(java.lang.Integer,java.lang.String)
14:43:15.767 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
14:43:15.768 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
14:43:15.792 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
14:43:15.792 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
14:43:16.090 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
14:43:16.096 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
14:43:16.103 [main] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
14:43:16.118 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 64610 (http) with context path ''
14:43:16.122 [main] INFO  c.e.d.SpringBootDemoApplicationTests - Started SpringBootDemoApplicationTests in 4.169 seconds (JVM running for 5.043)
14:43:16.462 [Thread-4] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@303cf2ba: startup date [Fri Oct 26 14:43:12 CST 2018]; root of context hierarchy
14:43:16.466 [Thread-4] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
